loc_nombre,loc_cpostal,prv_nombre
La Paya,4419,Salta
La Pedrera,4400,Salta
La Plata,4198,Salta
La Poblacion,4425,Salta
La Poblacion,4126,Salta
La Poblacion,4444,Salta
La Poma,4415,Salta
La Porcelana,4560,Salta
La Posta,4434,Salta
La Puerta,4419,Salta
La Punilla,4427,Salta
La Puntilla,4434,Salta
La Quena,4550,Salta
La Quesera,4400,Salta
La Ramada,4432,Salta
La Represa,4425,Salta
La Silleta,4407,Salta
La Soledad,4560,Salta
La Tablada,4535,Salta
La Toma,4421,Salta
La Toma,4530,Salta
La Trampa,4434,Salta
La Troja,4400,Salta
La Union,4401,Salta
La Union,4535,Salta
La Viña,4432,Salta
La Viña,4425,Salta
La Viña,4427,Salta
La Yesera,4415,Salta
Laguna Blanca,4448,Salta
Laguna Seca,4413,Salta
Laguna Verde,4449,Salta
Lagunita,4446,Salta
Lagunita Nueva Poblacion,4446,Salta
Las Acheras,4434,Salta
Las Animas,4415,Salta
Las Arcas,4417,Salta
Las Arcas,4407,Salta
Las Arenas,4405,Salta
Las Bateas,4449,Salta
Las Blancas,4448,Salta
Las Blancas,4403,Salta
Las Bolsas,4535,Salta
Las Cañas,4434,Salta
Las Cañas,4633,Salta
Las Cañas,4421,Salta
Las Cañitas,4561,Salta
Las Capillas,4409,Salta
Las Catitas,4193,Salta
Las Cebadas,4409,Salta
Las Conchas,4427,Salta
Las Conchas,4535,Salta
Las Cortaderas,4530,Salta
Las Cortderas,4415,Salta
Las Costas,4401,Salta
Las Cuestitas,4434,Salta
Las Cuevas,4409,Salta
Las Curtiembres,4425,Salta
Las Delicias,4444,Salta
Las Flacas,4434,Salta
Las Flechas,4448,Salta
Las Flores,4449,Salta
Las Garzas,4421,Salta
Las Hecheras,4434,Salta
Las Horquetas,4554,Salta
Las Juntas,4440,Salta
Las Juntas De Alemania,4425,Salta
Las Lajitas,4449,Salta
Las Lechuzas,4425,Salta
Las Llaves,4535,Salta
Las Lomitas,4562,Salta
Las Maravillas,4538,Salta
Las Mercedes,4421,Salta
Las Mercedes,4421,Salta
Las Mesadas,4405,Salta
Las Mesitas,4434,Salta
Las Mojarras,4198,Salta
Las Mojarritas,4195,Salta
Las Moras,4423,Salta
Las Pailas,4417,Salta
Las Palmas,4448,Salta
Las Palmas,4403,Salta
Las Piedritas,4190,Salta
Las Pircas,4421,Salta
Las Rosas,4405,Salta
Las Saladas,4193,Salta
Las Tienditas,4421,Salta
Las Tortugas,4449,Salta
Las Trancas,4417,Salta
Las Tunillas,4193,Salta
Las Varas,4534,Salta
Las Vateas,4449,Salta
Las Ventanas,4198,Salta
Las Vertientes Santa Rita De,4430,Salta
Las Viñas,4427,Salta
Las Viboras,4434,Salta
Las Zanjas,4415,Salta
Lechiguana,4434,Salta
Lesser,4401,Salta
Limache,4400,Salta
Limoncito,4448,Salta
Limoncito,4530,Salta
Lipeo,4651,Salta
Lizoite,4651,Salta
Llucha,4452,Salta
Loma De Burro,4415,Salta
Lomas De Olmedo,4530,Salta
Lorohuasi,4427,Salta
Los Alamos,4427,Salta
Los Alamos,4401,Salta
Los Alamos,4403,Salta
Los Bañados,4440,Salta
Los Baños,4193,Salta
Los Baldes,4550,Salta
Los Blancos,4554,Salta
Los Canteros,4195,Salta
Los Castillos,4425,Salta
Los Chifles,4449,Salta
Los Churquis,4425,Salta
Los Churquis,4198,Salta
Los Colorados,4413,Salta
Los Corrales,4434,Salta
Los Laureles,4415,Salta
Los Los,4423,Salta
Los Mercados,4401,Salta
Los Mogotes,4126,Salta
Los Mollinedos,4448,Salta
Los Nogales,4434,Salta
Los Noques,4400,Salta
Los Patos,4411,Salta
Los Peñones,4401,Salta
Los Pocitos,4190,Salta
Los Ranchillos,4554,Salta
Los Rosales,4446,Salta
Los Rosales,4193,Salta
Los Sauces,4425,Salta
Los Sauces,4401,Salta
Los Sauces,4427,Salta
Los Toldos,4531,Salta
Los Zanjones,4198,Salta
Lote 27,4560,Salta
Lote Estela,4533,Salta
Lote Estela,4533,Salta
Lote Josefina,4530,Salta
Lote Lucrecia,4530,Salta
Lote Marcela,4530,Salta
Lote Sarita,4530,Salta
Luis Burela,4449,Salta
Lumbreras,4434,Salta
Luna Muerta,4554,Salta
Luracatao,4419,Salta
Macapillo,4452,Salta
Macho Rastrojo,4141,Salta
Macueta,4566,Salta
Madariaga,4193,Salta
Madre Vieja,4430,Salta
Madrejon,4554,Salta
Mal Cante,4415,Salta
Mal Paso,4415,Salta
Manga Vieja,4452,Salta
Manuel Elordi,4550,Salta
Manuela Pedraza,4560,Salta
Maria Jose,4530,Salta
Maria Luisa,4533,Salta
Martin Garcia,4535,Salta
Martinez Del Tinco,4537,Salta
Martinez Del Tineo,4537,Salta
Matansillas,4633,Salta
Mayo Torito,4401,Salta
Mecoyita,4651,Salta
Media Luna,4449,Salta
Media Luna,4535,Salta
Media Luna,4405,Salta
Merced De Arriba,4405,Salta
Meseta,4409,Salta
Meson,4651,Salta
Metan,4440,Salta
Metan Viejo,4441,Salta
Mina Carolina,4409,Salta
Mina Don Otto,4425,Salta
Mina Julio,4411,Salta
Mina San Esteban,4415,Salta
Mina San Guillermo,4415,Salta
Mina San Walterio,4415,Salta
Mina Tincalaya,4413,Salta
Minas Victoria,4415,Salta
Minas Ypf,4448,Salta
Minas Ypf,4530,Salta
Miraflores,4448,Salta
Miraflores,4126,Salta
Miraflores,4434,Salta
Miraflores M,4444,Salta
Mision Chaqueña,4554,Salta
Mision Franciscana,4560,Salta
Mision Franciscana,4530,Salta
Mision La Paz,4561,Salta
Mision Santa Lucia,4561,Salta
Misiones,4554,Salta
Mistol Mareado,4554,Salta
Mistolar,4554,Salta
Mojotoro,4432,Salta
Molino,4423,Salta
Molino,4644,Salta
Molino De Gongora,4415,Salta
Molinos,4419,Salta
Mollar,4644,Salta
Molle Pozo,4446,Salta
Mollinedo,4535,Salta
Monasterios,4449,Salta
Monte,4401,Salta
Monte Carmelo,4554,Salta
Monte Grande,4419,Salta
Monte Viejo,4427,Salta
Monte Viejo,4427,Salta
Morales,4425,Salta
Morenillo,4193,Salta
Morillo,4554,Salta
Muñano Kilometro 1308,4411,Salta
Nazareno,4651,Salta
Nogalito,4440,Salta
Nuestra Señora De Talavera,4452,Salta
Nuevo Porvenir,4550,Salta
Ojo De Agua,4415,Salta
Ojo De Agua,4430,Salta
Ojo De Agua,4190,Salta
Olacapanto Chico,4413,Salta
Olacapanto Grande,4413,Salta
Olmos,4403,Salta
Oran,4530,Salta
Osma,4421,Salta
Otomana,4550,Salta
Ovando,4190,Salta
Ovejeria,4444,Salta
Ovejeria,4198,Salta
Ovejero,4126,Salta
P Salvador Mazza Est Pocito,4568,Salta
Pal Tolco,4651,Salta
Palermo,4449,Salta
Palermo Oeste,4415,Salta
Palma,4449,Salta
Palmarcito,4535,Salta
Palmira,4423,Salta
Palo A Pique,4449,Salta
Palo Pintado,4427,Salta
Palo Santo,4554,Salta
Palomar,4190,Salta
Palomitas,4434,Salta
Pampa Grande,4425,Salta
Papa Chacra,4651,Salta
Paraiso,4535,Salta
Paraje Campo Largo,4560,Salta
Paraje Cerro Negro,4411,Salta
